American Housing Survey Year,Mean Residential Building Lifetime
1996.998166,51.63861386
1997.103228,51.53322544
1997.218437,51.42783701
1997.333646,51.37195354
1997.448855,51.29103199
1997.564064,51.20906321
1997.679273,51.06216679
1997.794482,50.92326733
1997.909691,50.76837395
1998.0249,50.58472963
1998.140108,50.46763138
1998.255317,50.50276085
1998.370526,50.23343488
1998.485735,50.23343488
1998.600944,50.19830541
1998.716153,49.95239909
1998.831362,49.95239909
1998.946571,49.84701066
1999.06178,49.98752856
1999.176989,50.30369383
1999.292198,50.65498858
1999.407407,50.97115385
1999.522616,51.28731912
1999.637825,51.60348439
1999.744394,51.88217822
1999.868243,52.15384615
1999.983452,52.4114623
2000.098661,52.84472582
2000.21387,53.30140899
2000.329079,53.67612338
2000.444288,53.93373953
2000.559497,54.28503427
2000.674706,54.55436024
2000.789915,54.87052551
2000.905124,55.15156131
2001.020333,55.29207921
2001.135542,55.25694973
2001.250751,55.18031226
2001.36596,55.08663366
2001.481169,55.03446306
2001.596378,54.92640899
2001.711587,54.82102056
2001.826796,54.66879284
2001.942005,54.45696877
2002.057214,54.27332445
2002.172423,54.26161462
2002.287632,54.20039985
2002.402841,54.13280655
2002.51805,53.95715918
2002.633259,53.88690023
2002.748468,53.78151181
2002.863677,53.60586443
2002.978886,53.60586443
2003.094095,53.81664128
2003.209304,54.09767708
2003.324513,54.37871287
2003.439722,54.73000762
2003.554931,54.97591394
2003.67014,55.25694973
2003.785349,55.51456588
2003.900558,55.74876238
2004.015767,56.06492765
2004.130976,56.36938309
2004.246185,56.83777609
2004.361394,57.17736101
2004.476603,57.57549505
2004.591812,57.85653085
2004.707021,58.02046839
2004.82223,58.34834349
2004.937439,58.59424981
2005.052648,58.76989718
2005.167857,58.91041508
2005.283066,58.94554455
2005.398275,58.94554455
2005.513484,59.05093298
2005.628693,59.22658035
2005.743902,59.36709825
2005.859111,59.50761615
2005.97432,59.50761615
2006.089529,59.50761615
2006.204738,59.64813404
2006.319947,59.68964204
2006.435156,59.71839299
2006.550365,59.81207159
2006.665574,59.95258949
2006.780783,59.96429931
2006.895992,60.13994669
2007.011201,60.21020564
2007.12641,60.34272658
2007.241619,60.38585301
2007.356828,60.40022848
2007.472037,60.49124143
2007.587246,60.56150038
2007.702455,60.6093869
2007.817664,60.72010663
2007.932873,60.7137281
2008.048082,60.73714775
2008.163291,60.84786748
2008.2785,60.92555217
2008.393709,60.94630617
2008.508918,60.99904798
2008.624127,61.03417746
2008.739336,61.09748667
2008.854545,61.1874524
2008.969754,61.20182788
2009.041759,61.24333587
